,codigo,professor,disciplina,anoperiodo,qnt_discentes,qnt_aprovados,qnt_reprovacao,qnt_trancamentos,media_turma,media_faltas,qnt_reposicao,taxa_aprovacao,taxa_reprovacao,evasao,qnt_aprovados_primeira
554,57608159,2261705.0,48331,2017.2,44,26.0,15.0,3.0,4.497727272727274,8.409090909090908,5.0,0.5909090909090909,0.3409090909090909,0.06818181818181818,0
555,57608167,5753771.0,49493,2017.2,1,1.0,0.0,0.0,5.0,14.0,1.0,1.0,0.0,0.0,0
556,57608168,18677.0,49493,2017.2,2,1.0,1.0,0.0,3.65,10.5,0.0,0.5,0.5,0.0,0
557,57608242,5758472.0,2040364,2017.2,1,1.0,0.0,0.0,6.0,7.0,0.0,1.0,0.0,0.0,0
558,57608321,5759267.0,46387,2017.2,1,1.0,0.0,0.0,9.1,12.0,0.0,1.0,0.0,0.0,0
559,57608347,60551.0,25264,2017.2,1,1.0,0.0,0.0,5.7,0.0,0.0,1.0,0.0,0.0,0
560,57608377,25889.0,55031,2017.2,2,1.0,0.0,1.0,4.949999999999998,37.0,1.0,0.5,0.0,0.5,0
561,57608377,5756386.0,55031,2017.2,2,1.0,0.0,1.0,4.949999999999998,37.0,1.0,0.5,0.0,0.5,0
562,57608377,5759424.0,55031,2017.2,2,1.0,0.0,1.0,4.949999999999998,37.0,1.0,0.5,0.0,0.5,0
563,57608378,5757969.0,55031,2017.2,2,1.0,1.0,0.0,3.65,0.0,0.0,0.5,0.5,0.0,0
564,57608378,5758787.0,55031,2017.2,2,1.0,1.0,0.0,3.65,0.0,0.0,0.5,0.5,0.0,0
565,57608379,5757042.0,55082,2017.2,3,3.0,0.0,0.0,7.6,0.0,0.0,1.0,0.0,0.0,0
566,57608379,5755281.0,55082,2017.2,3,3.0,0.0,0.0,7.6,0.0,0.0,1.0,0.0,0.0,0
567,57608381,5756803.0,52651,2017.2,1,1.0,0.0,0.0,6.5,20.0,1.0,1.0,0.0,0.0,0
568,57608387,5756803.0,52652,2017.2,1,1.0,0.0,0.0,7.2,8.0,1.0,1.0,0.0,0.0,0
569,57608429,5755274.0,52692,2017.2,1,1.0,0.0,0.0,10.0,14.0,0.0,1.0,0.0,0.0,0
570,57608429,5757042.0,52692,2017.2,1,1.0,0.0,0.0,10.0,14.0,0.0,1.0,0.0,0.0,0
571,57608430,5757620.0,52690,2017.2,1,1.0,0.0,0.0,5.9,8.0,0.0,1.0,0.0,0.0,0
572,57608431,5755281.0,55084,2017.2,4,4.0,0.0,0.0,8.55,0.0,0.0,1.0,0.0,0.0,0
573,57608434,5756342.0,52700,2017.2,3,3.0,0.0,0.0,8.033333333333333,10.666666666666666,0.0,1.0,0.0,0.0,0
574,57608441,5757844.0,62887,2017.2,1,1.0,0.0,0.0,5.5,0.0,0.0,1.0,0.0,0.0,0
575,57608442,5759501.0,62888,2017.2,1,1.0,0.0,0.0,6.2,0.0,0.0,1.0,0.0,0.0,0
576,57608467,5758856.0,46656,2017.2,10,8.0,2.0,0.0,5.320000000000001,9.2,4.0,0.8,0.2,0.0,0
577,57608467,5756335.0,46656,2017.2,10,8.0,2.0,0.0,5.320000000000001,9.2,4.0,0.8,0.2,0.0,0
578,57608487,5757826.0,2036576,2017.2,3,3.0,0.0,0.0,8.0,11.333333333333336,0.0,1.0,0.0,0.0,0
579,57608516,64310.0,22933,2017.2,1,1.0,0.0,0.0,7.5,6.0,1.0,1.0,0.0,0.0,0
580,57608529,5759519.0,46192,2017.2,1,0.0,1.0,0.0,5.0,20.0,0.0,0.0,1.0,0.0,0
581,57608532,5759387.0,46192,2017.2,1,1.0,0.0,0.0,9.2,8.0,0.0,1.0,0.0,0.0,0
582,57608534,5759387.0,46192,2017.2,1,1.0,0.0,0.0,7.3,12.0,0.0,1.0,0.0,0.0,0
583,57608537,5758336.0,46256,2017.2,2,2.0,0.0,0.0,8.3,6.0,0.0,1.0,0.0,0.0,0
584,57608539,5757397.0,46256,2017.2,2,2.0,0.0,0.0,8.3,6.0,0.0,1.0,0.0,0.0,0
585,57608542,5757397.0,46256,2017.2,4,3.0,1.0,0.0,6.550000000000002,23.0,0.0,0.75,0.25,0.0,0
586,57608546,5759387.0,46192,2017.2,1,1.0,0.0,0.0,6.3,12.0,0.0,1.0,0.0,0.0,0
587,57608550,5754503.0,46256,2017.2,1,1.0,0.0,0.0,9.0,4.0,0.0,1.0,0.0,0.0,0
588,57608552,5757397.0,46256,2017.2,2,0.0,2.0,0.0,1.85,38.0,0.0,0.0,1.0,0.0,0
589,57608556,5758014.0,46256,2017.2,2,2.0,0.0,0.0,8.65,0.0,0.0,1.0,0.0,0.0,0
590,57608557,5754503.0,46256,2017.2,1,1.0,0.0,0.0,8.7,12.0,0.0,1.0,0.0,0.0,0
591,57608559,5753642.0,46256,2017.2,1,1.0,0.0,0.0,8.7,0.0,0.0,1.0,0.0,0.0,0
592,57608561,5754544.0,46256,2017.2,1,1.0,0.0,0.0,6.8,0.0,0.0,1.0,0.0,0.0,0
593,57608570,5753642.0,46256,2017.2,1,1.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0
594,57608576,5754935.0,46194,2017.2,1,0.0,1.0,0.0,0.0,48.0,0.0,0.0,1.0,0.0,0
595,57608634,5753874.0,52449,2017.2,37,7.0,26.0,4.0,2.0486486486486486,22.16216216216216,0.0,0.1891891891891892,0.7027027027027027,0.10810810810810813,0
596,57608637,5753874.0,52449,2017.2,24,6.0,18.0,0.0,2.6541666666666663,17.041666666666668,1.0,0.25,0.75,0.0,0
597,57608639,5753874.0,52449,2017.2,6,4.0,2.0,0.0,3.8833333333333333,19.666666666666668,1.0,0.6666666666666666,0.3333333333333333,0.0,0
598,57608640,18423.0,49492,2017.2,11,10.0,1.0,0.0,5.245454545454546,14.363636363636365,0.0,0.9090909090909092,0.09090909090909093,0.0,0
599,57608641,18423.0,49492,2017.2,1,1.0,0.0,0.0,5.5,12.0,0.0,1.0,0.0,0.0,0
600,57608642,5758722.0,41440,2017.2,35,33.0,1.0,1.0,7.028571428571429,0.0,0.0,0.9428571428571428,0.028571428571428567,0.028571428571428567,0
601,57608644,5753761.0,41440,2017.2,15,14.0,0.0,1.0,5.7733333333333325,17.6,0.0,0.9333333333333332,0.0,0.06666666666666668,0
602,57608646,5753761.0,49490,2017.2,7,7.0,0.0,0.0,6.1571428571428575,16.0,0.0,1.0,0.0,0.0,0
603,57608652,5758721.0,49490,2017.2,2,2.0,0.0,0.0,7.45,3.0,0.0,1.0,0.0,0.0,0
604,57608658,5758036.0,52450,2017.2,9,9.0,0.0,0.0,6.144444444444443,6.222222222222222,0.0,1.0,0.0,0.0,0
605,57608659,5758036.0,52450,2017.2,20,13.0,6.0,1.0,5.515,12.0,0.0,0.65,0.3,0.05,0
606,57608660,5753543.0,52450,2017.2,18,17.0,1.0,0.0,7.25,10.222222222222221,0.0,0.9444444444444444,0.05555555555555555,0.0,0
